Frame	A7	A6	A5	A4	A3	A2	A1
1	7	1	1	1	1	1	1
2	8	2	11	1	5	0	0
3	6	5	3	5	3	0	0
4	14	10	6	0	1	0	0
5	5	9	5	2	1	0	0
6	7	5	4	4	0	0	1
7	3	12	14	6	0	3	1
8	2	10	5	6	2	1	0
9	1	11	14	12	4	1	0
10	1	4	13	13	1	1	0
11	1	-1	4	6	11	0	1
12	0	0	6	18	12	4	1
13	0	0	6	9	12	10	1
14	0	1	3	11	11	14	2
15	0	-1	0	4	11	5	11
16	0	0	0	1	14	17	10
17	0	-1	-1	0	2	5	10
18	0	0	0	1	3	16	4
19	0	-1	0	1	1	19	16
20	0	0	-1	1	0	2	7
21	0	-1	0	1	0	1	21
22	1	1	-1	0	0	1	3
23	2	1	1	0	1	0	4
24	7	2	0	0	0	-1	-1
25	3	2	0	2	0	0	0
26	2	2	0	0	0	0	0
27	1	1	0	1	1	0	0
28	0	0	0	0	0	0	0
29	2	0	0	0	1	0	0
30	1	0	1	0	0	0	0
31	3	1	0	0	1	0	0
32	5	-1	0	0	1	0	0
33	8	2	0	0	0	0	0
34	14	6	0	0	0	0	0
35	3	7	0	0	0	0	0
36	2	3	2	0	0	0	0
37	6	8	12	2	0	0	0
38	14	7	5	1	0	0	0
39	4	8	2	5	0	0	0
40	11	4	4	1	1	0	0
41	0	3	10	0	0	0	1
42	1	-2	13	6	1	1	0
43	1	2	8	5	4	0	0
44	0	1	12	8	4	1	0
45	0	1	17	22	10	0	-1
46	0	2	7	5	19	3	0
47	0	1	-3	20	3	9	0
48	0	1	0	3	6	6	0
49	-1	-3	2	6	16	11	4
50	0	2	0	6	12	8	9
51	0	1	0	0	11	7	5
52	1	1	0	0	4	18	23
53	0	2	0	0	0	10	1
54	0	1	0	-1	0	5	21
55	0	0	0	0	0	3	3
56	1	2	0	-1	0	1	3
57	2	0	0	0	0	1	8
58	3	1	0	0	0	0	5
59	2	1	0	0	0	0	1
60	-6	9	0	0	0	0	0
61	2	1	0	0	0	0	0
62	1	3	0	0	0	0	0
63	2	2	0	0	0	-1	0
64	4	1	0	1	0	0	0
65	2	2	0	0	0	0	0
66	2	2	0	0	0	1	0
67	5	4	0	0	1	0	0
68	1	5	0	0	0	0	0
69	10	2	0	0	0	0	0
70	8	3	0	0	0	0	0
71	8	3	0	1	0	0	0
72	9	5	0	1	1	0	0
73	5	9	3	1	0	0	0
74	14	10	24	2	0	0	0
75	4	6	6	8	1	0	0
76	17	11	11	3	0	1	0
77	-2	4	8	2	2	0	0
78	0	2	2	11	1	0	0
79	1	2	1	4	3	1	0
80	0	2	2	8	5	0	0
81	0	0	0	12	13	1	0
82	0	1	0	6	17	15	0
83	0	0	0	16	10	3	1
84	0	0	0	7	12	18	1
85	0	0	-1	6	8	1	7
86	0	0	0	0	5	18	17
87	0	-1	0	-1	3	12	7
88	0	0	0	0	2	3	10
89	0	0	0	0	0	10	7
90	0	0	0	0	1	3	10
91	0	0	0	0	1	0	17
92	0	2	0	0	0	5	19
93	2	11	0	0	0	-7	-4
94	1	-2	0	0	0	0	2
95	2	2	0	0	0	1	-7
